"ID","Title","Created By","Expected Result","Preconditions","Priority","Section","Steps","Updated By"
"C94","Ensure that the Elements page loads correctly.","Prathi H V","1.Website should be loaded.
2.The Elements page should load successfully with the correct header and sub-sections (e.g., """"Text Box"""", """"Check Box"""", """"Radio Button"""", etc.).","1.Check for internet connection.","High","Elements","1.Navigate to the DEMOQA website.
2.Click on the """"Elements"""" tab in the navigation menu.","Prathi H V"
"C149","Verify Element Alignment","Prathi H V","1.All elements should aligned according to the design specifications.","1.The Demo QA page is accessible.","Medium","Elements","1.Check the alignment of various elements (e.g., buttons, text fields) using a grid or ruler tool.","Prathi H V"
"C95","Test the functionality of the Text Box element.","Prathi H V","1.The """"Text Box"""" page should loads, displaying text box fields for """"Full Name,"""" """"Email,"""" """"Current Address,"""" and """"Permanent Address.""""
2.The text box should accepts the input without errors.
3.The text box should accepts the input without errors.
4.The text box should accepts the input without errors.
5.The text box should accepts the input without errors.
6.The entered details should be displayed correctly in output area.","1.Check for the internet connection.
2.User should be in Elements page.","High","TextBox","1.Navigate to the """"Text Box"""" section under Elements.
2.Enter name into the """"Full Name"""" text box.
3.Enter mail id into the """"Email"""" text box.
4.Enter current address into the """"Current Address"""" text box.
5.Enter permanent address into the """"Permanent Address"""" text box.
6.Click the """"Submit"""" button.","Prathi H V"
"C96","Verify Checkbox Functionality","Prathi H V","1.The DEMOQA Checkbox page should loads successfully.
2.All checkboxes should be in their default state (unchecked).
3.The """"Home"""" checkbox should be checked.
4.The """"Home"""" checkbox should be unchecked.","1.Check for internet connection.
2.User can access to the DEMOQA page with the checkbox feature.","Critical","CheckBox","1.Navigate to the checkbox Page.
2.Observe the state of all checkboxes on the page.
3. Locate a single checkbox (e.g., """"Home"""" checkbox) and click it to check it.
4.Click the """"Home"""" checkbox again to uncheck it.","Prathi H V"
"C97","Check and uncheck Parent Checkbox.","Prathi H V","1.All child checkboxes under the """"Desktop"""" parent should be checked.
2.All child checkboxes under the """"Desktop"""" parent should be unchecked.","1.Check for internet connection.
2.User should be in Checkbox page.","Medium","CheckBox","1. Locate a parent checkbox (e.g., """"Desktop"""" checkbox) and click it to check it.
2.Click the """"Desktop"""" parent checkbox again to uncheck it.","Prathi H V"
"C98","Check and uncheck Individual Child Checkbox","Prathi H V","1. The """"Downloads"""" checkbox should be checked.
2.The """"Downloads"""" checkbox should be unchecked.
3.The """"Desktop"""" parent checkbox should be checked if any of its child checkboxes are checked.","1.Check for internet connection.
2.User should be in Checkbox page.","Medium","CheckBox","1.Locate a child checkbox under a parent (e.g., """"Downloads"""" under """"Desktop"""") and click it to check it.
2. Click the """"Downloads"""" checkbox again to uncheck it.
3.Check that the parent checkbox (""""Desktop"""") remains checked if any child checkbox is still checked.","Prathi H V"
"C99","Check and uncheck All Checkboxes and Verify Checkbox States After Refresh","Prathi H V","1.All checkboxes on the page should be checked.
2.All checkboxes on the page should be unchecked.
3.All checkboxes should revert to their default state (unchecked) after the page refreshes.","1.User should connected to internet.
2.User should be in Checkbox page.","Medium","CheckBox","1.Click the root parent checkbox (Home) to check all checkboxes in the hierarchy.
2.Click the root parent checkbox again to uncheck all checkboxes.
3.Check some checkboxes (both parent and child) and then refresh the page.","Prathi H V"
"C100","Verify Radio Button Selection","Prathi H V","1.Radio Buttons section should visible (e.g., """"Yes"""", """"Impressive"""", """"No"""").
2.The """"Yes"""" radio button should be selected and The """"Impressive"""" and """"No"""" radio buttons should be deselected.The selected option should be displayed correctly in the UI.","1.Check for internet connection.
2.User is on the DEMOQA page .","Critical","RadioButton","1.Navigate to the Radio Buttons section.
2.Select """"yes"""" radio button.","Prathi H V"
"C101","Ensure that clicking on a selected radio button does not deselect it and that it remains selected.","Prathi H V","1.The """"Impressive"""" radio button should remain selected.
2.No other radio button should be selected or deselected.","1.User is on the DEMOQA page and the Radio Buttons section is visible. 
2.A radio button should be previously selected.","Medium","RadioButton","1.Verify that the """"Impressive"""" radio button is selected.
2.Click on the """"Impressive"""" radio button again.","Prathi H V"
"C102","Ensure that each radio button has the correct label and that it correctly reflects its value when selected.","Prathi H V","1.Radio buttons page should be displayed.
2.The labels of the radio buttons should be correct and match the options (""""Yes"""", """"Impressive"""", """"No"""").
3.The value of the selected radio button should correspond to the correct label and be displayed as selected.","1.User is on the DEMOQA page.","Medium","RadioButton","1.Navigate to the Radio Buttons section on the DEMOQA page.
2.Verify the labels of the radio buttons (""""Yes"""", """"Impressive"""", """"No"""").
3.Click on each radio button and verify the selected option.","Prathi H V"
"C103","Ensure that a disabled radio button cannot be selected","Prathi H V","1.The disabled radio button should not be selectable.
2.The button should be visually indicated as disabled (e.g. Showing in red colour block).","1.User is on the DemoQA page and the Radio Buttons section is visible.
2.There should be a disabled radio button.","Medium","RadioButton","1.Locate a disabled radio button(No).
2.Attempt to click on the disabled radio button.","Prathi H V"
"C104","Ensure that the web table displays data correctly with the appropriate headers and rows.","Prathi H V","1.Web Tables section page should be displayed.
2.The table should display correct headers.
3.Data rows should be visible and properly aligned under the respective headers. All expected columns (First Name, Last Name, Age, Email, Salary, Department) should be present.","1.User is on the DemoQA page.","Medium","Web Tables","1.Navigate to the Web Tables section on the DemoQA page.
2.Verify the presence of table headers (e.g., """"First Name"""", """"Last Name"""", """"Age"""", """"Email"""", """"Salary"""", """"Department"""").
3.Check that rows of data are displayed under each header.","Prathi H V"
"C105","Add a New Row to Web Table","Prathi H V","1.A new row should added to the table with the following details: """"First Name"""" ,""""Last Name"""", """"Age"""" ,""""Email"""", """"Salary"""".
2.All details should be entered successfully. 
3.The table should displays the new row with the entered information.","1.User should connected to internet.
2.User should be in Web Tables page.","Medium","Web Tables","1.Click the """"Add"""" button to open the form for adding a new row.
2.Enter the following details: """"First Name"""" ,""""Last Name"""", """"Age"""" ,""""Email"""", """"Salary""""
3.Click the """"Submit"""" button.","Prathi H V"
"C106","Delete an Existing Row","Prathi H V","1.Web tables page should loaded.
2.The selected row should be removed from the table.","1.User is logged in and on the Web Tables page with at least one existing row.","Medium","Web Tables","1.Navigate to the Web Tables section.
2.Locate an existing row and click the """"Delete"""" button for that row.","Prathi H V"
"C107","Verify Button Visibility and Text","Prathi H V","1.The Buttons section should visible on the page.
2.The following buttons are present: Click Me, Double Click Me, Right Click Me, Click Me Too and Each button displays the correct text as mentioned.","1.User should be in DemoQA page.","High","Buttons","1.Navigate to the Buttons section.
3.Check for the presence of each button.","Prathi H V"
"C108","Verify Double Click Button Action","Prathi H V","1.Buttons page should be visible.
2.A message should appear that says, """"You have done a double click"""".","1.User should be in DemoQA page.
2.User should navigated to elements feature.","Medium","Buttons","1.Navigate to the Buttons page.
2.Locate and double-click the """"Double Click Me"""" button.","Prathi H V"
"C109","Verify Right Click Button Action","Prathi H V","1.Buttons page should be visible.
2.A message should appear that says, """"You have done a right click"""".","1.User should be in DemoQA page.
2.User should navigated to elements feature.","Medium","Buttons","1.Navigate to the Buttons page.
2.Locate and right-click the """"Right Click Me"""" button.","Prathi H V"
"C110","Verify  Click me Button Action","Prathi H V","1.Buttons page should be visible.
2.A message should appear that says, """"You have done a dynamic click"""".","1.User should be in DemoQA page.
2.User should navigated to elements feature.","Medium","Buttons","1.Navigate to the Buttons page.
2.Locate and click the """"Click Me"""" button.","Prathi H V"
"C111","Verify Link Navigation","Prathi H V","1.The browser should navigate to the DemoQA page.
2.Links section should be displayed with the Home link.
3.The URL in the address bar should reflect the new page.","1.User should connected to internet.","Critical","Links","1.Navigate to the DEMOQA page.
2.Locate Links section.
3.click the """"Home"""" link.","Prathi H V"
